,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
2535 達欣工,1.74,1.43,0.71,1.58,1.09,0.59,0.41,2.54,2.13,2.01,0.48,4.06,3.55,1.8,1.66,2.55,2.18,1.26,0.51
2536 宏普,4.07,3.73,2.92,4.41,3.68,2.68,2.18,3.46,1.76,1.09,1.16,2.77,0.41,-0.03,0.27,3.42,3.61,2.39,1.45
2537 聯上發,1.42,1.39,0.99,2.52,0.16,0.2,0.12,1.15,1,0.64,0.44,3.5,2.79,2.51,1.77,1.57,1.01,0.94,0.44
2538 基泰,-0.18,0.03,0.25,4.02,4.47,4.28,1.27,3.18,3.18,3.03,0.13,2.22,1.62,0.23,0.1,2.06,1.2,0.69,0.32
2539 櫻花建,0.31,0.37,0.39,3.51,2.26,2.76,0.04,4.64,3.64,2.68,0.09,5.27,1.26,1.46,-0.09,0.78,0.77,0.18,0.23
2540 愛山林,1.38,0.31,0.04,1.46,0.63,0.23,0.21,0.73,1.06,0.33,-0.45,7.91,-2.46,-1.09,-0.6,-2.33,-1.58,-1.1,-0.59
2542 興富發,4.73,3.01,2.48,7.06,2.01,2.73,3.05,11.44,9.92,4.8,1.11,10.85,9.1,7.56,6.45,8.13,4.25,2.57,1.76
2543 皇昌,0.4,0.31,0.16,0.49,0.51,0.3,0.21,1.31,0.87,0.39,0.11,1.47,0.3,0.02,0.01,0.13,0.08,0.06,0.16
2545 皇翔,7.17,6.56,1.24,0.28,-0.58,-0.36,0.05,5.6,3.18,1.81,-0.52,5.04,5.26,4.26,1.75,14.76,13.38,9.13,2.06
2546 根基,1.76,0.88,0.45,1.27,1.31,0.5,0.21,1.68,1.55,1.21,0.72,1.68,1.36,0.95,0.47,1.12,0.69,0.2,0.56
2547 日勝生,-4.97,-3.98,-0.28,-1.54,-1.12,-0.3,-0.1,-0.48,-0.35,-0.23,-0.05,12.01,9.68,-0.72,-0.32,1.32,0.16,0.27,0.01
2548 華固,3.79,-0.29,-0.13,9.59,8.12,6.82,4.22,5.08,-0.73,-1.24,-0.29,11.08,10.62,10.93,11.32,6.1,1.02,0.87,0.63
2596 綠意,2.66,0.87,-0.05,0.7,0.6,0.61,0.72,2.43,2.39,1.56,0.63,3.05,1.56,1.69,1.72,2.54,1.02,0.89,0.61
2597 潤弘,2.66,0.94,0.5,5.14,3.8,1.72,1.01,8.38,6.26,3.19,1.51,8.26,5.68,3.33,1.56,2.14,1.08,0.6,0.4
2601 益航,-2.63,-1.41,-1.3,-4.01,-2.75,0.47,0.32,-0.05,0.22,1.04,0.65,-0.79,-0.75,-0.98,-0.49,1.75,1.13,0.82,1.09
2603 長榮,-1.58,-1.25,-1.09,-1.26,-0.3,0.39,0.44,0.33,0.09,-0.44,-0.49,-0.43,-0.63,-0.64,-0.53,0.04,0.03,-0.69,-0.94
2605 新興,0.86,0.71,0.48,1.66,1.3,0.78,0.45,1.51,1.2,0.87,0.55,1.93,1.3,0.99,0.51,2.86,2.19,1.49,0.83
2606 裕民,-1.33,-1.33,-0.77,0.96,0.71,0.21,0.07,2.43,2.06,1.14,0.42,1.83,1.01,0.51,0.23,2.1,1.82,1.23,0.68
2607 榮運,0.57,0.41,0.18,0.79,0.61,0.4,0.18,0.63,0.41,0.21,0.11,0.54,0.41,0.25,0.12,0.48,0.42,0.31,0.14
2608 大榮,2.1,1.56,0.71,2.74,2.11,1.44,0.55,2.05,1.51,0.92,0.43,1.83,1.39,0.84,0.37,1.66,1.24,0.77,0.31
2609 陽明,-3.76,-2.44,-1.06,-2.24,-1.14,0.09,0.09,0.1,0.02,-0.41,-0.48,-0.9,-1.31,-1.62,-0.82,0.02,-0.88,-1.84,-1.91
2610 華航,0.33,0.24,0.27,1.06,0.94,0.55,0.35,-0.14,-0.5,-0.72,-0.52,-0.25,0.04,-0.24,-0.21,0.01,0.08,-0.21,-0.19
2611 志信,0.01,0.1,0.01,0.2,0.33,0.15,0.14,0.4,0.33,-0.05,0.01,0.12,-0.3,-0.21,0.05,4.61,5.11,5.71,-0.1
2612 中航,0.55,0.44,0.31,1.3,0.9,0.51,0.56,1.3,0.89,0.5,0.26,1.55,1.29,0.75,0.47,2.23,1.5,1,0.8
2613 中櫃,0.34,0.4,0.03,0.27,0.03,0.15,-0.08,1.41,1.07,0.6,0.08,1.09,0.62,0.4,0.01,0.67,0.29,0,-0.26
2614 東森,0.7,0.1,-0.39,-3.1,-1.16,-0.75,-0.63,-5.16,-4.44,-3.8,-2.07,-0.33,-0.27,-1.07,-1.34,-2.74,-1.41,-1.29,-0.93
2615 萬海,0.16,0.13,0.02,1.78,1.9,1.42,0.93,2.37,1.6,0.78,0.3,0.96,0.4,0.25,0.05,0.82,0.65,0.36,-0.17
2616 山隆,2.36,1.43,0.55,1.9,1.43,0.88,0.38,2.02,1.52,0.79,0.33,2.23,1.72,0.97,0.5,2.45,2.11,1.32,0.42
2617 台航,-0.03,0.01,0.02,0.22,0.25,0.12,0.2,0.73,0.52,0.41,0.22,1.3,1.11,0.97,0.61,1.51,1.22,0.9,0.63
2618 長榮航,1.15,0.6,0.28,1.69,1.58,0.97,0.55,-0.4,-0.18,-0.24,-0.28,0.23,0.21,-0.34,-0.28,0.15,0.21,-0.27,-0.33
2633 台灣高鐵,0.56,0.4,0.2,7.19,-0.12,-0.23,-0.14,0.55,,0.64,,0.21,,0.17,,0.25,,0.11,
2634 漢翔,1.66,1.17,0.53,2.23,1.83,0.96,0.47,2.06,1.3,0.92,0.46,1.4,1.56,1.08,,1.37,,0.78,
2636 台驊投控,0.89,0.51,0.1,2.7,2.16,1.4,0.43,2.21,1.94,0.86,0.15,1.4,1.3,0.66,0.05,0.95,0.62,0.07,-0.28
2637 慧洋-KY,1.69,1.65,1.65,4.53,3.7,2.26,1.1,3.81,2.51,1.74,1.26,3.43,2.42,2.2,1.31,5.33,3.83,3.09,2.46
2640 大車隊,2.28,1.56,1.01,4.2,3.63,2.7,1.19,6.09,4.3,3.01,1.46,5.39,3.92,2.57,1.12,4.23,3.3,2.13,1.35
2641 正德,-0.1,-0.14,-0.11,0.47,0.15,0.12,0.03,0.54,0.37,0.31,0.17,0.52,0.37,0.21,-0.01,0.38,,0.29,
2642 宅配通,0.8,0.71,0.5,1.06,1.1,1.02,0.45,1.63,1.03,0.84,0.45,2.13,1.55,1.22,0.73,2.83,,1.14,
2643 捷迅,4.51,2.85,1.6,4.08,2.83,1.81,0.61,2,,0.89,,1.28,,-0.06,,5.07,,,
2701 萬企,0.74,0.47,0.21,0.83,0.72,0.45,0.17,0.74,0.62,0.38,0.13,0.56,0.47,0.27,0.08,0.6,0.42,0.32,0.11
2702 華園,0.54,0.47,0.22,0.6,0.54,0.36,0.2,0.7,0.5,0.36,0.15,0.44,0.4,0.26,0.18,0.86,0.72,0.57,0.1
2704 國賓,0.91,0.47,0.33,1.14,0.95,0.52,0.33,1.12,0.93,0.49,0.32,0.97,0.76,0.38,0.26,0.77,0.58,0.35,0.2
2705 六福,-0.87,-0.6,-0.21,0.35,0.71,0.64,0.67,0.2,-0.18,-0.31,-0.11,-0.42,-0.52,-0.34,-0.13,-0.32,-0.27,-0.37,-0.15
2706 第一店,0.95,0.64,0.3,1.09,0.95,0.62,0.25,1.01,0.84,0.53,0.19,0.82,0.65,0.38,0.13,0.8,0.53,0.41,0.12
2707 晶華,5.12,3.57,2.02,8.96,6.31,5.02,2.56,9.6,6.35,4.89,2.79,10.66,7.35,5.85,3.33,11.24,8.47,6.37,3.5
2712 遠雄來,0.58,0.23,0.11,0.84,0.72,0.29,0.13,0.94,0.83,0.24,0.05,0.68,0.55,0.03,-0.05,0.66,,0.05,
2718 晶悅,0.34,0.49,0.43,1.53,1.03,0.77,0.51,1.15,0.66,0.56,0.27,0.15,0.55,0.49,0.17,1.36,0.69,0.64,0.38
2719 燦星旅,-0.74,-0.47,-0.11,-0.42,0.39,0.63,0.57,0.8,0.92,0.38,0.45,1.71,1.84,0.85,0.71,0.49,0.79,0.12,0.53
2722 夏都,1.3,0.61,0.18,1.7,1.56,0.63,0.17,1.93,1.8,0.7,0.16,1.67,1.78,0.67,0.11,1.78,1.64,0.59,0.13
2723 美食-KY,8.35,5.26,2.62,8.07,5.59,2.66,1.34,3.74,2.24,1.36,1.3,4.07,3.42,2.3,1.31,6.93,5.75,3.98,2.41
2724 富驛-KY,-9.42,-3.15,-1.62,-3.91,-1.96,-0.23,-1.27,1.55,1.23,0.52,-0.5,1.54,0.94,0.2,-0.54,2.34,2.01,1,0.01
2726 雅茗-KY,2.98,1.59,0.57,2.65,2.1,0.77,0.42,2.52,2.14,1.22,0.78,3.07,2.1,0.39,0.27,2.9,,,
2727 王品,3.69,2.15,1.07,0.45,3.11,3.15,2.07,9.14,8.97,6.71,4,13.64,11.67,8.07,4.69,15.69,12.42,7.74,4.39
2729 瓦城,11.37,7.32,3.72,12,10.05,6.92,3.36,10.89,9.64,6.34,3.54,10.5,9.21,5.98,2.86,9.53,8.23,4.87,2.29
2731 雄獅,3.37,2.48,1.08,6.43,5.87,4.42,1.92,5.48,4.71,2.73,1.19,5.85,4.88,2.65,1.45,2.35,,1.01,
2732 六角,3.11,1.61,0.73,5.06,3.75,2.04,1.19,5.71,3.47,2.17,1.19,7.17,4.27,4.08,,10.03,,5.28,
2734 易飛網,-0.7,-0.3,-0.16,-0.31,-0.15,0.19,0.28,2.05,1.51,0.94,0.6,3.01,2.23,1.38,0.67,1.21,,0.24,
2736 高野,1.05,1.21,1.22,5.93,4.82,4.08,1.2,3.55,2.91,1.8,1.48,2.86,,2.1,,7.91,,6.65,
2739 寒舍,1.58,1.27,0.97,3,1.57,1.38,0.92,2.52,2,1.37,,2.56,,,,2.34,,,
2740 天蔥,-1.4,-0.94,-0.5,1.8,2.35,2,0.9,5.85,,2.99,,11.99,,6.92,,4.82,,,
2748 雲品,2.3,1.63,1.09,3.02,1.83,1.44,0.93,2.35,,,,0,,,,0,,,
2801 彰銀,1.04,0.68,0.4,1.38,1.09,0.7,0.36,1.38,1.15,0.76,0.4,1.14,0.91,0.61,0.32,1.17,1.04,0.73,0.34
2809 京城銀,3.12,1.92,0.96,3.09,2.41,1.99,0.95,4.33,3.36,2.4,1.05,3.53,2.57,1.65,0.98,3.28,2.36,1.47,0.69
2812 台中銀,0.78,0.49,0.25,1.14,0.93,0.67,0.36,1.33,1.1,0.74,0.41,1.23,1,0.69,0.34,1.2,0.89,0.55,0.29
2816 旺旺保,0.69,0.29,0.26,1.23,1.05,1.49,1.14,2.75,2.68,2.11,0.96,2.59,2.33,1.15,0.65,1.29,1.03,0.48,0.34
2820 華票,0.99,0.71,0.35,1.2,0.89,0.59,0.28,1.03,0.81,0.52,0.29,1.04,0.89,0.72,0.55,0.87,0.76,0.6,0.19
2823 中壽,2.61,1.77,0.81,2.75,3.06,1.88,1.09,2.15,1.86,1.03,0.58,2.2,1.54,1.14,0.87,2.03,1.71,0.89,0.46
2832 台產,1.07,0.5,0.33,3.01,2.56,2.15,0.64,1.81,1.31,0.9,0.58,2.26,1.7,0.96,0.49,2.03,1.75,1.01,0.69
2834 臺企銀,0.67,0.46,0.24,0.9,0.67,0.48,0.25,1,0.75,0.48,0.24,0.71,0.44,0.3,0.15,0.7,0.53,0.36,0.16
2836 高雄銀,0.6,0.41,0.21,0.76,0.61,0.4,0.22,0.69,0.48,0.29,0.19,0.58,0.42,0.27,0.16,0.55,0.43,0.31,0.17
2838 聯邦銀,0.77,0.47,0.25,1.2,0.86,0.52,0.3,1.26,0.95,0.63,0.32,1.3,0.97,0.66,0.34,1.41,1.2,0.84,0.39
2841 台開,0.23,0.45,0.04,2.92,0.34,0.07,-0.23,8.13,-0.3,-0.08,0.02,4.06,0.71,0.23,-0.2,0.28,-0.26,-0.1,-0.17
2845 遠東銀,0.79,0.54,0.28,1.3,1.03,0.72,0.38,1.31,1.06,0.71,0.38,1.3,1.16,0.83,0.41,1.15,1,0.73,0.4
2849 安泰銀,0.41,0.26,0.04,1.96,1.27,0.8,0.36,1.91,1.38,0.98,0.4,1.57,1.05,1.05,0.48,2.43,1.43,0.89,0.42
2850 新產,3.03,1.79,0.75,3.97,3.21,1.58,0.7,3.28,2.79,1.4,0.98,3.08,1.97,1.25,0.58,2.4,1.57,0.86,0.62
2851 中再保,1.11,0.55,0.13,1.36,0.98,0.88,0.56,1.55,1.26,0.83,0.4,1.3,1.21,0.38,0.28,1.23,1.05,0.77,0.74
2852 第一保,1.15,0.5,0.39,0.65,0.35,0.88,0.42,1.38,1.07,0.53,0.38,2.34,1.9,1.42,1.12,2.1,1.61,0.9,0.39
2855 統一證,0.78,0.23,0.15,0.72,0.5,0.72,0.42,1.2,0.89,0.82,0.35,1.03,0.69,0.37,0.23,0.84,0.69,0.44,0.51
2856 元富證,0.51,0.32,0.04,0.99,0.4,0.31,0.23,0.97,0.66,0.6,0.21,0.56,0.37,0.25,0.21,0.54,0.46,0.28,0.26
2867 三商壽,2.48,1.72,0.11,1.88,2.64,2.01,0.54,1.82,1.65,0.66,-0.51,1.99,1.86,1.32,0.41,1.4,2.09,0.62,0.07
2880 華南金,1,0.73,0.37,1.42,1.07,0.77,0.39,1.41,1.05,0.68,0.33,1.11,0.84,0.57,0.3,1.03,0.86,0.59,0.33
2881 富邦金,3.94,2.32,0.86,6.21,5.68,4.11,1.96,5.89,5.24,2.78,1.34,3.9,3.09,1.88,1.06,3.05,2.4,1.21,0.76
2882 國泰金,3.08,1.11,0.65,4.58,4.33,3.26,1.43,3.93,3.53,2.42,1.02,3.28,2.52,1.6,0.66,1.59,1.2,0.49,0.19
2883 開發金,0.3,0.13,0.08,0.58,0.41,0.34,0.18,0.73,0.54,0.32,0.18,0.56,0.43,0.24,0.1,0.39,0.35,0.2,0.15
2884 玉山金,1.22,0.83,0.47,1.63,1.32,0.85,0.45,1.56,1.26,0.86,0.5,1.53,1.19,0.79,0.45,1.46,1.18,0.85,0.45
2885 元大金,0.9,0.55,0.31,1.02,0.99,0.73,0.41,1.62,1.37,1.16,0.36,0.78,0.56,0.32,0.16,0.61,0.47,0.3,0.25
2886 兆豐金,1.3,0.69,0.56,2.35,1.75,1.25,0.66,2.43,1.91,1.3,0.65,1.96,1.59,1.04,0.54,1.88,1.55,1.13,0.59
2887 台新金,0.98,0.72,0.41,1.39,1.23,0.9,0.49,0.08,1.42,1.11,0.61,1.72,1.45,1.04,0.57,1.3,1.1,0.71,0.41
2888 新光金,0.15,-0.1,-0.26,0.57,0.4,0.61,0.34,0.69,0.7,0.27,0.12,1.11,1.24,0.81,0.88,1.16,1.22,0.91,0.35
2889 國票金,0.67,0.46,0.24,0.58,0.44,0.32,0.18,0.66,0.55,0.41,0.21,0.52,0.34,0.21,0.12,0.55,0.5,0.4,0.17
2890 永豐金,0.65,0.47,0.27,1.07,0.89,0.64,0.38,1.45,1.28,0.88,0.36,1.32,1.02,0.72,0.38,1.26,0.99,0.64,0.37
2891 中信金,1.29,0.79,0.36,2.1,1.51,1.04,0.64,2.58,2.44,1.94,0.53,1.5,1.29,1.02,0.52,1.65,1.21,0.93,0.46
2892 第一金,1.12,0.73,0.39,1.55,1.21,0.82,0.44,1.52,1.26,0.89,0.42,1.26,1.07,0.73,0.36,1.25,1.11,0.82,0.39
2901 欣欣,0.38,0.14,0.08,0.55,0.47,0.18,0.09,0.49,0.4,0.17,0.08,0.5,0.41,0.18,0.09,0.48,0.4,0.16,0.07
2903 遠百,0.43,0.29,0.22,1.2,0.7,0.2,0.1,1.07,0.71,0.49,0.27,1.56,1.05,0.7,0.55,1.24,0.71,0.44,0.48
2904 匯僑,1.2,0.9,0.54,2.24,1.84,1.27,0.61,2.22,1.8,1.17,0.59,2.2,1.82,1.26,0.71,2.9,2.35,1.47,0.72
2905 三商,3.3,2.11,0.37,2.3,3.2,2.2,0.52,1.96,1.92,0.76,-0.47,1.43,0.76,0.56,-0.07,2.04,2.89,0.75,0.36
2906 高林,0.05,0.05,0.07,0.5,0.68,0.77,0.18,0.97,0.69,0.25,0.1,0.46,0.24,0.06,0.07,0.43,0.42,0.3,0.16
2908 特力,1.13,0.83,0.6,1.32,1.13,0.83,0.62,1.42,1.06,0.76,0.56,1.3,0.95,0.68,0.5,1.4,1.1,0.77,0.55
2910 統領,0.21,0.06,0.04,0.46,0.3,0.23,0.11,0.97,0.82,0.68,0.33,0.57,0.46,0.34,0.2,0.72,0.5,0.32,0.25
2911 麗嬰房,-0.79,-0.48,0.06,-0.32,-0.39,-0.36,0.15,-0.5,-0.86,-0.77,-0.26,-0.34,-0.66,-0.36,0.2,0.77,0.59,0.3,0.44
2912 統一超,7.56,4.84,2.35,7.92,6.48,4.12,2.03,8.74,7.35,4.97,2.86,7.73,6.32,4.16,1.94,6.53,5.38,3.3,1.66
2913 農林,0.45,0.27,0.17,1.01,0.81,0.57,0.3,1.16,0.72,0.38,0.23,1.52,0.99,0.7,0.45,1.52,0.56,0.33,0.09
2915 潤泰全,5.5,3.04,2.51,8.57,6.5,3.5,1.6,8,6.17,2.64,1.15,54.85,5.05,3.1,1.2,4.2,2.08,2.17,-0.03
2916 滿心,0.28,0.41,0.34,1.47,0.53,0.66,0.38,1.24,0.24,0.4,0.31,0.86,-0.04,0.13,-0.05,0.52,-0.06,0.21,0.38
2923 鼎固-KY,0.91,0.76,0.2,2,1.23,0.78,0.33,1.67,1.12,0.26,0.14,1.81,0.55,0.29,0.12,0.87,0.5,0.53,
2924 東凌-KY,0.03,0.01,0,0.71,0.36,0.22,0.09,2.49,1.55,0.93,0.43,4.16,2.81,1.79,1,4.17,2.99,1.85,0.89
2926 誠品生活,7.29,4.78,2.92,9.12,6.1,3.92,2.4,8.17,5.31,3.43,2.09,6.72,5.24,3.28,1.89,6.89,5.86,3.74,
2928 紅馬-KY,1.35,1.32,0.54,1.23,0.05,0.02,0.15,0.66,-0.87,-1.29,,0.01,-1.52,,,1.61,0.99,,
2929 淘帝-KY,9.31,8.67,3.75,14.4,8.83,6.16,2.96,12.98,7.77,5.5,3.11,12.72,7.82,4.4,2,8.21,,,
2936 客思達-KY,3.88,2.57,1.56,2.67,1.67,1.23,0.96,2.72,3,,,8.7,,,,,,,
3002 歐格,0.45,0.25,0.14,0.41,0.28,0.23,0.12,0.77,0.64,0.43,0.33,0.5,0.42,0.23,0.02,0.55,0.44,0.3,0.08
3003 健和興,1.63,1.11,0.51,2.45,1.98,1.09,0.56,2.59,1.98,1.37,0.75,2.24,1.52,0.85,0.51,2.57,2.21,1.79,0.6
3004 豐達科,3.02,2.13,1.05,4.53,3.11,1.79,0.88,-1.32,-1.57,2.25,1.43,2.66,1.9,1.63,1.21,4.41,3.16,2.19,1.16
3005 神基,1.99,1.16,0.53,2.19,1.56,1.12,0.65,1.51,0.5,0.36,0.02,0.69,0.36,0.24,0.11,0.63,0.39,0.33,0.09
3006 晶豪科,1.41,1.12,0.53,1.85,1.61,1.02,0.87,4.34,3.14,1.91,1,2.62,2.18,1.63,0.61,-0.68,-0.07,-0.3,-0.21
3008 大立光,106.41,54.52,27.01,180.08,129.99,68.82,32.86,144.91,89.51,50.11,22.36,71.64,46.26,28.96,13.79,41.58,20.19,11.54,6.58
3010 華立,3.46,2.32,1.45,4.88,3.51,2.27,1.16,5.52,4.02,2.52,1.26,5.01,3.71,2.36,1.24,4.24,3.27,2,1.04
3011 今皓,-0.2,-0.35,-0.28,-0.94,-0.85,-0.52,-0.15,-0.62,-0.35,-0.22,-0.1,-0.84,-0.64,-0.38,-0.21,0.04,0.04,0.03,-0.08
3013 晟銘電,0.52,0.08,-0.17,0.39,0.4,0,-0.07,0.72,-0.12,0.01,0.18,0.53,0.3,0.05,-0.04,0.21,-0.3,-0.32,-0.01
3014 聯陽,1.94,1.07,0.49,2.2,1.6,0.86,0.62,2.4,2.2,1.38,0.65,1.22,0.86,0.37,0.16,1.06,0.9,0.6,0.26
3015 全漢,1.05,0.55,0.25,1.73,0.52,-0.13,0.1,1.71,1.43,0.73,0.44,2.14,1.73,1.24,0.39,2.53,2.19,1.47,0.61
3016 嘉晶,0.08,0.15,0.05,-0.16,0.38,0.58,0.32,0.18,0.28,0.38,0.22,-0.29,0.08,-0.02,-0.07,-0.51,-0.36,-0.5,-0.42
3017 奇鋐,1.73,1.12,0.6,2.1,1.49,0.87,0.44,2.06,1.63,0.6,0.18,0.7,0.51,0.3,0.08,0.1,0.06,0.04,0.02
3018 同開,0,-0.14,0.01,-1.01,-0.07,-0.02,-0.1,0.72,0.48,0.24,0.08,-0.21,-0.76,-0.57,-0.3,0.28,0.04,0.01,0.21
3019 亞光,1.06,0.49,0.08,0.37,0.67,0.03,-0.18,-1.19,-0.56,-0.56,-0.59,-3.05,0.81,0.6,0.56,-1.54,-1.38,-1.63,-0.77
3021 鴻名,0.79,0.48,0.14,0.82,0.55,0.27,0.05,0.75,0.59,0.42,0.2,0.45,0.42,0.29,0.06,0.63,0.45,0.45,0.21
3022 威強電,2.89,1.9,1.03,3.55,2.89,2.01,1.02,4.51,3.43,2.23,1.2,3.62,2.85,1.74,0.96,3.44,3.79,2.41,1.11
3023 信邦,4.06,2.83,1.41,4.53,3.69,2.36,1.15,3.82,3.11,2.03,0.97,3.2,2.48,1.45,0.64,2.92,2.6,1.63,0.78
3024 憶聲,-0.24,-0.41,-0.18,-1.2,-0.67,-0.32,-0.18,-1.12,-0.46,-0.42,-0.29,-1.99,-1.27,-0.74,-0.28,-0.81,-0.09,0.06,-0.26
3025 星通,0.25,0.11,0.05,-0.18,-0.24,-0.18,-0.12,0.17,-0.06,-0.07,0.08,0.57,0.4,0.21,0.13,0.67,0.39,0.01,0.17
3026 禾伸堂,1.8,1.21,0.69,2.67,2.51,1.69,0.86,4.05,3.65,2.55,0.79,2.44,1.84,1.06,0.53,2.05,1.63,1,0.5
3027 盛達,0.51,0.37,0.09,0.39,0.3,0.17,0.01,0.36,0.44,0.16,0.09,0.38,0.47,0.01,0.06,0.38,0.66,0.62,-0.05
3028 增你強,1.03,0.75,0.52,1.58,1.15,0.74,0.48,1.71,1.24,0.83,0.45,1.08,1.41,1.02,0.54,1.5,1.23,0.85,0.51
3029 零壹,1.3,0.62,0.21,1.65,1.35,0.88,0.54,1.18,0.7,0.43,0.19,0.87,0.45,0.27,0.05,0.82,0.72,0.48,0.31
3030 德律,1.5,1.23,0.44,4.23,4.09,2.28,1.2,5.34,4.55,1.28,0.39,3.41,2.85,1.18,0.45,6.43,5.42,2.53,1.07
3031 佰鴻,0.67,0.43,0.05,-0.07,0.26,0,0.11,0.46,0.34,0.12,0.06,0.16,0.01,-0.13,-0.06,-1.81,-1.41,-0.81,-0.28
3032 偉訓,2.34,1.45,0.87,2.62,1.7,0.86,0.58,2.06,1.57,1.18,0.56,0.48,0.47,0.21,0.1,0.06,0.09,-0.07,0.04
3033 威健,1.05,0.75,0.42,1.7,1.28,0.84,0.44,1.94,1.58,1.08,0.54,2.16,1.66,1.05,0.49,1.78,1.63,1.15,0.69
3034 聯詠,6.16,4.14,2.01,10.52,8.02,5.23,2.79,11.85,8.42,4.99,2.08,7.81,5.86,3.82,1.75,7.36,5.16,3.01,1.3
3035 智原,1.02,0.81,0.3,1.26,1.33,0.89,0.46,1.65,1.24,0.91,0.41,2.02,1.51,1.01,0.51,2.65,2.13,1.33,0.62
3036 文曄,3.19,1.79,0.9,4.49,3.35,2.22,1.24,5.18,3.81,2.25,1,3.86,2.9,1.84,0.88,3.23,2.47,1.46,0.75
3037 欣興,-0.48,-0.28,-0.15,0.19,-0.41,-0.51,-0.37,0.32,0.5,0.22,0.06,0.76,0.88,0.62,0.4,2.25,1.75,1.03,0.4
3038 全台,0.7,0.5,0.31,1.25,0.94,0.46,0.27,0.79,0.54,0.35,0.21,0.23,0.12,0.11,0.02,-0.5,-0.29,-0.32,-0.23
3040 遠見,2.24,1.27,0.94,2.2,1.96,1.11,0.25,6.42,5.93,0.43,0.06,0.32,0.28,0.22,0.12,0.52,0.28,0.14,0.05
3041 揚智,-0.68,-0.4,-0.09,-0.29,-0.35,-0.46,0,0.9,0.78,0.4,0.28,3.05,2.82,2.97,-0.16,2.63,2.28,1.64,0.91
3042 晶技,2.29,1.41,0.73,3.03,2.21,1.29,0.71,3.21,2.36,1.5,0.72,3.02,2.24,1.39,0.68,3.79,2.72,1.52,0.66
3043 科風,-0.56,-0.5,-0.39,-0.34,-0.17,-0.15,-0.41,-0.83,-0.39,-0.15,0.24,-2.49,-1.86,-1.16,-0.76,-5.7,-4.13,-3.52,-1.07
3044 健鼎,4.45,2.6,1.28,5.39,3.82,2.02,1.02,5.02,3.59,2.09,1.09,4.52,3.36,2.18,1.15,5.58,4.4,3.1,1.52
3045 台灣大,4.36,2.9,1.39,5.76,4.38,2.85,1.4,5.56,4.45,3.06,1.52,5.79,4.47,2.89,1.42,5.46,4.16,2.7,1.25
3046 建碁,-1.96,-1.39,-0.57,-1.55,-1.27,-1.16,-0.56,-2.76,-2,-0.85,-0.3,-1.06,-0.8,-0.42,-0.11,-0.18,-0.02,0.15,0.17
3047 訊舟,0.3,0.43,0.08,0.77,0.62,0.16,0.05,0.66,0.53,0.34,0.28,0.75,0.64,0.58,0.37,1.12,0.95,0.74,0.31
3048 益登,0.99,0.38,0.13,2.11,1.72,1.16,0.59,2.61,1.8,0.95,0.34,1.28,0.83,0.46,0.24,1,0.71,0.4,0.12
3049 和鑫,-1.15,-1.42,-0.56,0.17,0.29,0.03,0.12,0.58,0.59,0.51,0.34,0.35,0.79,0.48,0.08,-2.59,-2.26,-1.66,-0.72
3050 鈺德,0.62,0.36,0.14,0.84,0.53,0.39,0.09,-0.36,-0.03,0.01,0.08,-0.31,-0.13,-0.07,0.06,0.02,-0.12,-0.24,-0.08
3051 力特,-1.18,-0.65,-0.42,0.94,0.95,0.54,0.47,1.65,0.68,0.02,-0.01,1.65,1.46,1.28,0.63,0.33,0.27,0.2,-0.01
3052 夆典,0.06,0.06,0.03,0.7,0.46,0.31,0.06,0.94,0.45,0.7,0.87,7,1.11,0.06,0.02,1.05,0.9,0.74,0.53
3054 立萬利,0.54,0.26,0.21,-0.96,-0.51,-0.32,-0.16,0.14,0.28,0.33,0.27,2.89,2.79,1.73,0.99,-0.75,-0.55,0.05,0.01
3055 蔚華科,0.76,0.64,0.36,4.68,0.57,0.47,0.21,2.25,2.11,1.3,0.32,-3.87,-0.26,0.37,0.11,0.49,0.47,0.18,-0.28
3056 總太,4.42,4.52,-0.07,3.63,3.05,0.28,0.33,2.43,0.03,0.11,0.1,9.27,8.92,4.51,2.73,3.65,2.17,1.26,0.65
3057 喬鼎,-1.06,-0.73,-0.34,0.48,0.47,0.35,0.32,2.56,1.74,1.11,0.52,2.22,1.57,1.07,0.44,0.68,0.36,0.2,0.07
3058 立德,0.47,0.25,0.12,0.09,0.26,0.2,0.04,0.11,0.26,0.04,0.17,0.73,0.96,0.51,0.21,2.45,2.01,1.08,0.37
3059 華晶科,-0.13,-0.17,-0.18,1.02,0.89,0.16,0.01,0.8,0.66,0.56,0.22,-0.88,0.08,-0.08,-0.12,0.75,0.68,0.46,0.17
