,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
1434 福懋,1.85,0.64,0.38,1.68,1.33,0.72,0.31,2.09,1.7,0.76,0.32,1.27,0.98,0.7,0.3,1.43,1.33,0.65,0.27
1435 中福,-0.05,-0.05,-0.05,-0.03,0.01,0,0.01,-0.01,0.01,0,0,-0.09,-0.02,-0.02,-0.01,0.01,0.08,0.11,-0.01
1436 華友聯,0.47,0.24,-0.32,-0.55,-0.62,-0.49,-0.12,5.35,4.79,3.62,0.03,-0.18,-0.28,-0.19,-0.05,-0.96,-0.82,-0.74,-0.01
1437 勤益控,1.99,1.68,0.31,0.26,0.36,0.25,0.17,1.06,1.02,0.95,0.48,-2.84,-0.66,-0.26,-0.18,0.06,-0.17,-0.03,-0.05
1438 裕豐,-0.03,-0.02,-0.01,0.11,0.15,0.11,0.13,0.04,-0.03,-0.02,-0.01,0.29,0.22,0.16,0.03,0.12,0.16,0.07,-0.02
1439 中和,-0.02,-0.06,-0.04,0.01,0.01,0,0,0.01,-0.02,-0.04,-0.03,0.02,0.02,0.02,0.03,-0.09,-0.07,-0.06,0.03
1440 南紡,0.27,0.13,0.02,0.75,0.61,0.38,0.12,0.29,0.24,0.16,0.08,0.76,0.66,0.46,0.21,0.43,0.24,0.12,-0.04
1441 大東,-1.81,-1.05,-0.29,-0.93,-0.66,-0.46,-0.37,-2.17,-1.2,-0.52,-0.18,-0.14,-0.12,0.07,0.07,0.09,-0.27,-0.04,-0.2
1442 名軒,2.02,0.52,0.03,2.44,1.95,1.57,0.18,1.96,1.28,1.06,0.6,6.3,6.1,4.82,1.54,1.54,1.29,1.19,0.69
1443 立益,-1.43,-1.02,-0.79,-0.89,-0.41,-0.68,-0.48,-1.51,-2.11,-0.7,-0.22,-0.61,-0.29,0.05,0.11,-2.29,-1.55,-1.28,-0.51
1444 力麗,-0.14,0.06,0,0.43,0.36,0.22,0.1,0.23,0.16,0.07,0.11,0.71,0.66,0.35,0.2,0.87,0.66,-0.12,0.55
1445 大宇,0.39,0.29,0.1,0.65,0.51,0.29,0.12,0.21,0.16,0.15,0.08,0.47,0.42,0.29,0.13,0.17,0.17,0.14,0.07
1446 宏和,0.37,0.12,0.02,-0.28,0,0.01,0.04,0.1,0.13,0.14,0.11,-0.08,0.04,0.11,0.09,-0.21,-0.06,0.06,0.2
1447 力鵬,-0.36,-0.14,-0.22,0.02,0.09,0.03,-0.14,0.42,0.46,0.21,0.3,1.34,1.09,0.75,0.49,0.04,-0.34,-0.71,0.33
1449 佳和,-1.55,-1.35,-0.82,-2.25,-2.14,-1.59,-0.52,0.46,-1.63,-0.4,-0.3,-0.67,-0.7,-0.44,-0.29,-2.04,-1.61,-0.16,-0.12
1451 年興,1.52,1.11,0.58,1.69,1.05,0.24,0.12,1.75,1.42,1.04,0.64,1.89,1.49,0.94,0.35,1.64,1.55,1.21,0.66
1452 宏益,1.07,0.59,0.29,2.8,2.52,1.84,0.66,1.31,0.95,0.59,0.29,1.03,0.6,0.37,0.22,0.66,0.66,0.31,0.25
1453 大將,-0.01,0,0.06,0.62,0.71,0.82,-0.19,-0.54,-0.37,-0.26,-0.05,0.24,-0.08,0.06,-0.03,1.61,0.53,-0.07,-0.15
1454 台富,0.36,0.27,0.06,0.79,0.67,0.48,0.2,0.52,0.38,0.16,0.05,0.28,0.26,0.16,0.02,-0.15,-0.06,-0.05,-0.11
1455 集盛,0.16,0.11,0.03,0.22,0.18,0.33,-0.11,0.09,0.05,0.01,0.13,0.6,0.44,0.36,0.27,-0.17,-0.25,-0.33,0.42
1456 怡華,-0.35,-0.32,-0.28,1.24,-0.27,-0.2,-0.1,-5.33,-5.28,-0.59,-0.17,0.09,-0.17,-0.11,-0.06,-1.4,-0.62,-0.4,-0.1
1457 宜進,0.32,0.28,0.13,1.71,1.71,1.58,0.42,0.34,0.31,0.23,0.05,0.72,0.31,0.01,0,0.02,0.06,0.15,0.02
1459 聯發,-0.19,-0.11,-0.07,0.72,0.78,0.65,0.28,0.56,0.45,0.12,0.04,0.56,0.1,-0.06,-0.03,-0.14,-0.16,-0.17,-0.09
1460 宏遠,0.7,0.46,0.27,1.03,0.61,0.4,0.25,0.85,0.5,0.33,0.18,0.53,0.33,0.28,0.17,1.33,1.34,1.33,1.24
1463 強盛,0.64,0.4,0.2,0.51,0.32,0.17,0.14,0.63,0.25,0.15,0.06,0.33,0.02,0.01,0.01,-0.23,-0.22,-0.19,-0.12
1464 得力,0.97,0.65,0.4,1.4,0.96,0.6,0.28,4.14,0.18,0.15,0.03,-0.18,-0.09,0.02,0,0.29,0.04,0.04,0.01
1465 偉全,0.33,0.26,0.15,1,0.82,0.32,0.2,1.05,0.77,0.67,0.35,1.21,0.86,0.54,0.13,0.96,0.7,0.52,0.21
1466 聚隆,-0.74,-0.62,-0.42,0.07,0.11,-0.09,0,0.52,0.3,0.31,0.21,1.02,0.77,0.4,0.21,1.01,0.71,0.48,0.22
1467 南緯,0.34,0.09,0.03,0.01,0.19,0.05,0.04,0.57,0.5,0.13,0.11,1,0.96,0.55,0.32,1.06,0.95,0.62,0.26
1468 昶和,-0.15,0.04,-0.01,-0.33,-0.22,-0.14,-0.05,-0.36,-0.23,-0.15,-0.11,-0.3,-0.38,-0.11,-0.11,-1.58,-1.18,-0.7,-0.36
1469 理隆,-0.27,-0.12,-0.05,-0.05,0.04,0.06,-0.08,0,0.06,0.03,-0.03,0.06,0.08,0.07,0.08,0.19,0.28,0.14,0.02
1470 大統染,0.37,0.33,0.19,0.71,0.5,0.3,0.18,0.77,0.53,0.44,0.23,0.34,0.21,0.11,0.08,0.17,0.09,0.14,0.11
1471 首利,-1.24,-0.79,-0.44,-1.78,-1.17,-0.95,-0.42,-0.39,-0.3,-0.33,-0.23,0.15,-0.01,0.09,-0.08,-1.46,-0.83,-0.83,-0.27
1472 三洋紡,0.76,0.82,1.13,-0.5,-0.24,-0.08,-0.41,-0.89,-0.66,-0.51,-0.25,-1.37,-1.16,-1.03,-0.5,-2.75,-1.52,-1.41,-0.49
1473 台南,1.85,1.27,1.22,0.65,0.59,0.23,0.46,0.97,0.45,0.32,0.56,1.62,1.36,1.3,1.04,1.19,0.62,0.05,0.38
1474 弘裕,0.66,0.5,0.25,0.7,0.63,0.35,0.15,0.44,0.18,0.1,0.04,0.54,0.21,0.1,0.05,-0.59,-0.08,0.06,0.06
1475 本盟,-0.85,-0.46,-0.17,1.78,-0.72,-0.56,-0.27,-0.79,-0.74,-0.53,-0.2,-1.48,-0.98,-0.62,-0.32,-1.57,-1.16,-0.73,-0.51
1476 儒鴻,8.6,5.46,2.47,15.99,11.41,6.48,2.68,11.51,7.98,4.85,2.62,10.91,7.77,4.98,2.41,7.75,5.32,3.19,1.82
1477 聚陽,6.4,4.51,3.22,10.9,8.59,5.42,3.35,9.62,7.52,4.95,2.89,8.02,6.27,4.09,2.33,7.17,5.93,3.92,2.24
1503 士電,1.99,1.29,0.72,2.39,1.78,1.2,0.71,2.43,1.9,1.19,0.66,2.25,1.65,0.96,0.53,1.84,1.62,1.16,0.63
1504 東元,1.32,0.87,0.34,1.6,1.32,0.83,0.37,2.05,1.71,1.18,0.44,2.01,1.57,1.01,0.45,1.63,1.22,0.69,0.31
