,TWII.Open,TWII.High,TWII.Low,TWII.Close,TWII.Volume,TWII.Adjusted,add/less
2013/4/9,7766.620117,7781.129883,7714.930176,7728.540039,1888800,7728.509636,-24.249904
2013/4/10,7772.950195,7772.950195,7739.990234,7752.799805,1736400,7752.769306,24.25967
2013/4/11,7788.580078,7857.97998,7788.580078,7857.97998,1842000,7857.949068,105.179762
2013/4/12,7861.120117,7864.859863,7810.540039,7821.629883,1677600,7821.599113,-36.349955
2013/4/15,7815.319824,7835.120117,7753.240234,7763.529785,1634200,7763.499244,-58.099869
2013/4/16,7690.910156,7801.049805,7688.620117,7801.049805,1548000,7801.019116,37.519872
2013/4/17,7822.810059,7822.810059,7791.529785,7809.069824,1906600,7809.039104,8.019988
2013/4/18,7781.47998,7826.129883,7757.330078,7791.350098,1784600,7791.319447,-17.719657
2013/4/19,7868.899902,7933.720215,7862.919922,7930.799805,2033800,7930.768606,139.449159
2013/4/22,7976.100098,7996.549805,7950.009766,7970.379883,1947200,7970.348528,39.579922
2013/4/23,7955.919922,7968.790039,7913.600098,7942.77002,1876400,7942.738773,-27.609755
2013/4/24,7977.399902,8025.450195,7968.279785,8023.709961,2412000,8023.678396,80.939623
2013/4/25,8015.379883,8026.459961,7994.189941,8021.75,1941400,8021.718443,-1.959953
2013/4/26,8034.470215,8081.370117,8020.470215,8022.060059,2227800,8022.028501,0.310058
2013/4/29,8043.709961,8046.220215,8014.27002,8029.740234,1796200,8029.708646,7.680145
2013/4/30,8065.919922,8115.589844,8065.919922,8093.660156,2283200,8093.628317,63.919671
2013/5/2,8111.430176,8139.490234,8095.700195,8128.509766,2151000,8128.477789,34.849472
2013/5/3,8157.509766,8175.330078,8121.069824,8135.029785,2032400,8134.997783,6.519994
2013/5/6,8188.47998,8197.519531,8153.959961,8169.049805,1971000,8169.017668,34.019885
2013/5/7,8177.580078,8181.799805,8145.100098,8163.060059,1872600,8163.027946,-5.989722
2013/5/8,8177.939941,8284.089844,8177.939941,8267.089844,2467800,8267.057322,104.029376
2013/5/9,8314.370117,8322.69043,8279.459961,8285.889648,2414000,8285.857053,18.799731
2013/5/10,8284.379883,8297.330078,8258.620117,8280.259766,2270000,8280.227192,-5.629861
2013/5/13,8285.450195,8296.540039,8230.650391,8248.320312,1958400,8248.287864,-31.939328
2013/5/14,8272.200195,8295.410156,8233.980469,8251.820312,1960600,8251.787851,3.499987
2013/5/15,8264.099609,8320.320312,8251.509766,8318.589844,2302600,8318.557119,66.769268
2013/5/16,8362.490234,8414.879883,8346.450195,8390.049805,3446200,8390.016799,71.45968
2013/5/17,8377.259766,8402.339844,8356.790039,8368.19043,2547200,8368.15751,-21.859289
2013/5/20,8364.950195,8385.679688,8347.330078,8377.049805,2114400,8377.01685,8.85934
2013/5/21,8381.360352,8420.679688,8361.959961,8383.049805,2660600,8383.016827,5.999977
2013/5/22,8414.05957,8439.150391,8376.209961,8398.839844,3031400,8398.806803,15.789976
2013/5/23,8367.849609,8373.089844,8235.5,8237.830078,3340000,8237.797671,-161.009132
2013/5/24,8273.209961,8277.55957,8172.540039,8209.780273,2450400,8209.747977,-28.049694
2013/5/27,8218.879883,8280.099609,8210.320312,8280.099609,1894000,8280.067036,70.319059
2013/5/28,8289.150391,8303.709961,8261.540039,8263.049805,1988600,8263.017299,-17.049737
2013/5/29,8303.200195,8344.209961,8303.200195,8337.900391,2471400,8337.86759,74.850291
2013/5/30,8316.969727,8316.969727,8228.799805,8243.290039,2458800,8243.257611,-94.609979
2013/5/31,8318.769531,8334.44043,8237.080078,8254.799805,3586800,8254.767331,11.50972
2013/6/3,8177.970215,8225.790039,8149.450195,8201.019531,2142200,8200.987269,-53.780062
2013/6/4,8243.219727,8250.169922,8180.390137,8191.220215,2192000,8191.187991,-9.799278
2013/6/5,8195.519531,8216.30957,8161.100098,8181.910156,2282800,8181.877969,-9.310022
2013/6/6,8135.560059,8162.25,8088.310059,8096.140137,2347800,8096.108287,-85.769682
2013/6/7,8113.950195,8146.779785,8071.97998,8095.200195,2536400,8095.16835,-0.939937
2013/6/10,8161.509766,8190.870117,8142.709961,8160.549805,1703000,8160.517702,65.349352
2013/6/11,8178.950195,8178.950195,8116.149902,8116.149902,1809000,8116.117974,-44.399728
2013/6/13,8041.5,8057.330078,7951.660156,7951.660156,2286800,7951.628875,-164.489099
2013/6/14,7978.75,7989.189941,7912.370117,7937.740234,2085600,7937.709008,-13.919867
2013/6/17,7953.649902,7999.430176,7940.720215,7992.890137,1509200,7992.858693,55.149685
2013/6/18,7994.810059,8024.950195,7955.740234,8011.02002,1719200,8010.988505,18.129812
2013/6/19,8033.319824,8056.189941,8005.569824,8007.390137,1797800,8007.358636,-3.629869
2013/6/20,7952.359863,7962.759766,7890.930176,7898.910156,2156200,7898.879083,-108.479553
2013/6/21,7778.839844,7815.790039,7739.089844,7793.310059,3274800,7793.2794,-105.599683
2013/6/24,7788.450195,7815.100098,7744.490234,7758.029785,2153600,7757.999266,-35.280134
2013/6/25,7750.339844,7792.27002,7663.22998,7663.22998,2368000,7663.199834,-94.799432
2013/6/26,7789.339844,7821.140137,7742.200195,7784.799805,2405200,7784.76918,121.569346
2013/6/27,7841.319824,7884.129883,7834.330078,7883.899902,2369400,7883.868888,99.099708
2013/6/28,7928.540039,8062.209961,7891.060059,8062.209961,2251800,8062.178245,178.309357
2013/7/1,8011.950195,8063.470215,7974.149902,8036,2063400,8035.968387,-26.209858
2013/7/2,8061.839844,8064.120117,8012.790039,8015.859863,1986800,8015.82833,-20.140057
2013/7/3,7991.529785,7995.299805,7899.080078,7911.419922,2276800,7911.388799,-104.439531
2013/7/4,7919.259766,7927.080078,7877.060059,7893.720215,1796800,7893.689162,-17.699637
2013/7/5,7932.299805,8018.930176,7926.350098,8001.819824,1885000,8001.788346,108.099184
2013/7/8,7980.109863,7992.160156,7885,7886.339844,1742000,7886.30882,-115.479526
2013/7/9,7891.529785,7975.640137,7891.370117,7971.180176,1739400,7971.148818,84.839998
2013/7/10,7974.990234,8057.919922,7974.990234,8011.689941,2279800,8011.658424,40.509606
2013/7/11,8080.970215,8179.540039,8080.970215,8179.540039,2724800,8179.507862,167.849438
2013/7/12,8187.859863,8220.490234,8169.919922,8220.490234,2277800,8220.457896,40.950034
2013/7/15,8178.259766,8254.679688,8175.549805,8254.679688,2128200,8254.647214,34.189318
2013/7/16,8243.620117,8260.110352,8222.169922,8260.110352,2449000,8260.077857,5.430643
2013/7/17,8239.099609,8260.25,8208.709961,8258.950195,2677400,8258.917705,-1.160152
2013/7/18,8238.280273,8265.700195,8181.990234,8194.879883,2557800,8194.847645,-64.07006
2013/7/19,8117.939941,8139.810059,8046.700195,8062.029785,2541200,8061.99807,-132.849575
2013/7/22,8092.029785,8137.370117,8092.029785,8105.450195,1948400,8105.418309,43.420239
2013/7/23,8152.720215,8220.889648,8145.089844,8214.650391,2607200,8214.618075,109.199766
2013/7/24,8222.849609,8233.099609,8172.22998,8196.19043,2210200,8196.158187,-18.459888
2013/7/25,8173.189941,8203.490234,8140.410156,8163.580078,2044600,8163.547963,-32.610224
2013/7/26,8188.359863,8222.820312,8135.72998,8149.399902,1833800,8149.367843,-14.18012
2013/7/29,8146.140137,8163.890137,8074.290039,8084.5,1566000,8084.468196,-64.899647
2013/7/30,8113.169922,8176.740234,8112.910156,8163.549805,1789200,8163.51769,79.049494
2013/7/31,8163.439941,8170.569824,8107.600098,8107.939941,2083500,8107.908046,-55.609644
2013/8/1,8110.72998,8113.399902,8056.220215,8056.220215,2017200,8056.188522,-51.719524
2013/8/2,8114.509766,8162.910156,8087.100098,8099.879883,2267000,8099.848019,43.659497
2013/8/5,8104.200195,8143.439941,8075.990234,8138.629883,1870100,8138.597866,38.749847
