company name,index,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
越南控-DR,9110,2.17,1.02,4.58,3.68,2.41,1.3,6.2,4.51,2.91,1.52,5.7,4.18,2.95,1.62,6.56,4.77,3.09,1.54
明輝-DR,911608,4.98,2.53,2.69,1.96,1.62,0.93,4.24,4.25,2.86,1.4,3.32,3.14,1.9,1,4.84,4.59,2.98,1.61
特藝-DR,911613,3.15,1.6,7.66,5.74,3.9,1.98,7.05,5.01,3.07,1.58,4.29,3.53,2.08,1.19,16.78,13.72,9.36,3.85
杜康-DR,911616,52.5,44.23,26.45,10.63,5.38,4.36,2.8,1.28,8.74,7.02,4.88,2.36,,10.73,4.31,2.37,10.76,8.07
耀傑-DR,911619,2.92,3.21,4.43,3.47,2.63,1.53,4.14,3.06,1.52,0.5,4.57,3.2,1.85,0.66,6.7,4.85,2.57,
泰聚亨-DR,911622,5.18,2.63,10.98,,,,13.58,9.67,6.13,3.16,14.02,11.7,8.12,3.28,15.01,11.2,7.33,3.87
同方友友-DR,911868,,,1.55,,0.63,,1.47,,1.03,,3.51,,2.2,,3.38,,2.14,
晨訊科-DR,912000,2.16,,5.29,,1.75,,3.75,,1.39,,2.58,,1.19,,6.43,,2.98,
友佳-DR,912398,6.42,,12.27,,6.33,,16.42,,8.13,,16.47,,8.08,,17.81,,9.13,
巨騰-DR,9136,13.73,,33.79,,14.98,,33.61,,14.59,,30.67,,14.24,,7.17,,3.46,
陽光能源-DR,9157,2.61,,4.6,,2.04,,4.56,,2.29,,3.31,,1.25,,2.08,,1.02,
精熙-DR,9188,1.3,,3.1,,1.41,,3.23,,1.4,,3.03,,1.29,,3.25,,1.73,
鈺齊-KY,9802,34.09,17.98,68.17,52.88,35.37,18.96,65.91,48.76,33.15,15.62,58.48,44.31,28.1,14.39,49.59,36.71,25.07,13.16
