,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
弘裕,s1474,3.58,3.88,3.76,2.6,3.16,2.62,2.3,1.61,0.93,0.75,0.63,1.98,1.05,0.73,0.73,-2.32,-0.43,0.48,1.04
本盟,s1475,-38.92,-24.77,-5.29,-17.12,-34.38,-45.04,-45.4,-33.12,-40.9,-45.01,-43.17,-70.04,-52.18,-41.41,-46.96,-35.64,-32.21,-30.63,-44.05
儒鴻,s1476,13.01,12.74,11.68,16.35,16.29,14.79,14.17,14.41,13.83,13,14.71,15.1,15.27,15.71,16.1,13.21,13.17,12.88,13.24
聚陽,s1477,7.81,8.55,10.19,9.32,9.68,10.05,11.11,8.17,8.38,8.78,9.38,7.49,7.71,8.07,8.99,7.42,8.03,8.55,9.32
士電,s1503,6.99,6.83,7.82,6.51,6.58,6.74,8.15,6.73,7.21,6.79,7.96,6.24,6.31,5.89,6.7,5.04,5.82,6.19,6.79
東元,s1504,8.22,8.07,6.77,7.23,7.89,7.6,7.01,8.19,8.85,9.08,7.03,7.38,7.39,7.17,6.53,6.61,6.52,5.57,5.16
正道,s1506,1.23,1.44,1.82,2.1,2.69,1.16,1.41,0.48,0.59,-0.59,-2.63,-6.93,-4.16,-4.92,-6.81,-5.12,-0.37,0.98,1.5
永大,s1507,8.97,8.6,9.62,8.13,8.52,8.49,8.63,8.61,9.41,8.64,8.94,8.68,8.19,7.34,8.17,8.25,8.1,7.66,7.27
瑞利,s1512,-5.24,-4.16,-1.86,-3.73,-6.54,-9.49,-6.16,-5.82,-7.34,-7.74,-8.96,-3.1,-7.03,-6,-3.04,1,0.7,0.32,-3.47
中興電,s1513,5.54,4.88,4.3,5.3,7.62,4.91,5.71,5.97,5.03,5.26,4.94,5.76,4.64,5.4,4.96,5.62,6.47,5.68,5.34
