,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
捷邦,s1566,0.95,0.31,0.05,3.51,1.7,1.03,1.39,0.63,-0.59,-4.69,-4.92,-0.16,1.43,0.9,4.13,-0.05,2.32,-1.32,-6.99
倉佑,s1568,6.22,6.83,7.5,6.32,5.69,3.98,3,5.02,4.86,4.85,7.57,4.35,3.22,2.52,2.32,5.74,,6.11,
濱川,s1569,4.66,1.44,-4.02,-13.48,-20.92,-23.77,-18.81,-2.5,-2.7,-4.95,-11.51,-1.53,-2.41,0.16,0.55,3.55,4.53,6.25,8.19
力肯,s1570,6.08,6.16,7.96,12.27,14.72,11.07,11.16,14.18,16.4,19.05,11.73,13.4,13.19,15.03,19.19,-0.2,-0.74,-1.77,0.14
新麥,s1580,12.51,11.03,6.97,11.85,10.99,9.74,9.65,12.66,12.06,11.34,7.78,12.94,12.71,10.87,9.52,11.88,11.13,11.15,10.71
信錦,s1582,9.48,8.19,7.46,8.35,8.52,7.37,7.36,8.51,8.15,7.83,6.36,7.22,7.28,6.7,6.67,8.71,9.11,8.93,9.12
程泰,s1583,4.02,4.64,5.17,10.77,11.57,6.81,8.86,10.89,9.22,8.67,10.03,9.08,8.41,9.14,11.65,8.31,9.32,9.49,9.68
精剛,s1584,0.53,0.54,-4.81,-11.32,-3.17,-0.21,-2.15,-4.65,-7,-9.03,-9.34,-15.97,-15.74,-17.15,-17.19,-9.4,-5.74,-1.23,2.01
和勤,s1586,-3.92,-3.51,-0.02,-0.71,-2.36,-1.64,0.64,3.34,3.35,3.5,5.36,2.69,1.8,2.07,2.76,0.68,-0.46,0.57,-5.08
永冠-KY,s1589,13.85,15.93,15.62,16.61,14.72,13.36,12.52,13.9,13.66,14.17,12.73,9.17,9.38,8.07,7.23,7.04,6.37,5.52,6.93
亞德客-KY,s1590,21.28,20.12,19.39,15.63,16.08,18.75,13.36,21.32,21.88,23.97,21.06,23.64,23.54,23.07,18.2,19.72,20.25,20.48,19.2
駿吉-KY,s1591,9.19,9.34,6.41,6.88,7.1,7.41,8.61,5.62,5.83,6.36,6.84,7.45,7.32,7.54,7.54,9.18,9.2,9.49,9.56
英瑞-KY,s1592,8.55,8.42,7.98,3.69,4.51,3.46,3.64,3.5,3.27,3.99,3.51,9.23,3.25,2.64,1.24,12.9,,,
祺驊,s1593,11.54,11.04,8.96,10.29,8.73,4.38,6.54,5.82,6.02,3.84,5,4.61,4.47,2.61,5.22,4.11,3.7,2.78,1.06
川寶,s1595,8.98,8.19,6.92,19.33,21.13,17.01,19.14,22.17,27.28,24.16,27.59,20.91,22.74,22.9,24.72,20.34,21.17,21.01,16
直得,s1597,8.71,10.83,9.13,6.93,6.53,1.17,-7.75,2.04,2.33,1.8,-1.55,6.23,8.32,8.71,5.62,7.67,11.13,10.7,20.14
岱宇,s1598,3.86,4.98,6.4,5.75,5.09,-0.41,1.57,5.74,,2.87,,0.63,,0.7,,0.87,,-12.18,
宏佳騰,s1599,10.06,7.38,9.5,11.15,8.81,5.7,-0.74,2.8,1.23,-1.42,-1.72,5.52,5.06,0.95,-8.29,6.98,5.42,2.73,2.23
華電,s1603,14.74,11.33,13.38,14.61,13.94,11.11,17.91,9.54,6.38,6.07,4.76,8.47,8.48,6.69,2.43,13.63,13.77,7.35,9.29
聲寶,s1604,9.35,10.5,9.95,5.35,6.36,6.46,6.47,6.23,7.41,6.53,6.39,4.33,6.61,5.01,4.35,4.31,5.31,5.48,6.38
華新,s1605,3.4,3.03,3,1.16,1.09,0.72,-0.54,1.56,1.87,0.76,-0.52,-1.64,0.94,0.78,0.55,-2.07,-3.13,-1.62,-1.79
華榮,s1608,-0.53,-2.43,-0.79,-4.17,-6.3,-3.04,-4.47,0.81,2.11,2.74,-1.17,4.03,1.38,-2.15,8.91,4.03,4.97,4.09,8.34
大亞,s1609,0.38,-1.58,-4.77,-3.66,-4.32,-3.15,-2.83,0.36,0.03,0.1,-1.37,0.78,-0.53,-1.55,0.64,1.11,1.77,0.59,3.3
中電,s1611,-3.95,-3.33,-0.6,0.45,3.66,-13.71,-6.3,-9.68,0.04,0.07,0.29,-17.04,0.32,0.22,7.21,1.36,1.02,7.91,8.27
宏泰,s1612,2.91,1.11,0.48,1.25,1.43,2.81,2.97,6.85,7.23,8.29,7.93,1.01,1.03,0.26,2.04,1.29,4.43,4.02,6.92
台一,s1613,-0.26,-0.19,-0.64,-2.39,-1.56,-1.42,-2.72,-0.51,-0.58,-0.6,-0.94,-0.35,-0.51,-0.82,-1.15,-0.08,0.04,0.33,1.32
三洋電,s1614,6.72,6.63,4.82,4.93,4.87,4.32,0.75,4.25,4.08,3.67,0.67,4.74,3.74,3.26,1.68,4.56,3.84,3.93,4
大山,s1615,3.06,2.01,-1.87,0.66,0.96,0.04,0.01,3.05,3.35,4.89,5.54,1.06,0.43,0.81,1.04,2.24,2.25,3.32,3.2
億泰,s1616,2.12,1.3,-1.4,5.49,8.12,17.31,38.92,-4.94,-3.96,-4.68,-9.82,0.1,0.24,1.5,8.45,0.29,1.18,0.85,1.63
榮星,s1617,1.68,0.77,0.21,1.94,1.59,0.05,0.26,1.35,1.65,1.19,2.49,0.43,1.04,0.41,1.84,-2.07,-2.17,-2.54,-3.59
合機,s1618,2.87,4.09,-2.76,4.66,-1.92,-7.5,-10.59,-0.75,-0.2,-3.61,-2.23,-2.58,-1.9,-2.54,0.67,7.18,7.76,4.55,-1.78
艾美特-KY,s1626,2.3,3.98,1.17,-0.86,0.06,2.1,0.24,-2.74,-2.44,-2.79,-8.38,4.71,5.36,6.68,8.78,4.28,4.83,6.12,
中化,s1701,6.57,7.37,7.14,6.4,7.82,7.34,7.5,6.62,5.7,5.99,5.08,4.67,5.45,5.44,3.44,6.52,7,8.23,8.09
南僑,s1702,7.88,8.06,7.48,7.52,7.49,8.38,8.1,6.8,6.91,7.07,6.41,6.7,6.54,5.93,5.08,3.96,3.78,3.31,2.98
榮化,s1704,9.88,10.13,9.27,27.15,31.72,4.28,2.63,-31.35,-36.21,-47.69,-3.93,-3.5,-1.07,-1.29,2.6,-1.97,-1.09,-0.62,1.03
葡萄王,s1707,20.02,19.3,20.53,21.34,20.94,20.06,21.02,22.07,21.21,19.84,20.83,20.95,19.64,18.44,19.01,18.35,18.61,18.32,18.49
東鹼,s1708,10.64,9.93,10.42,10.51,18.08,17.54,18.89,15.6,16.37,16.39,17.43,10.81,11.03,11.58,15.86,11.46,10.79,10.47,16.03
和益,s1709,10.58,10.08,8.37,7.42,8.25,6,2.98,1.83,2.05,2.66,3.43,2.68,2.72,2.91,3.88,3.53,4.27,4.27,4.06
東聯,s1710,-7.07,-6.45,-3.96,-2.26,0.59,6.27,1.32,0.45,2.27,1.5,1.35,8.2,7.94,5.28,6.48,8.59,8.02,7.39,13.43
永光,s1711,6.17,6.21,7,6.01,6.34,5.44,6.08,5.94,7.87,8.69,8.48,6.72,6.7,5.62,3.65,6.32,6.65,5.78,4.91
興農,s1712,3.23,3.71,3.9,2.03,1.15,1.48,0.3,2.96,3.09,3.7,4.71,2.82,2.88,2.75,3.71,2.86,2.75,2.47,3.18
國化,s1713,15.62,16.31,12.86,10.57,10.2,9.4,9.34,12.29,11.53,11.21,9.76,11.55,10.32,10.07,7.28,11.97,10.34,12.08,5.24
和桐,s1714,2.07,2.86,2.5,-0.24,0.5,-0.31,-1.38,-2.05,-0.39,-0.05,0.59,0.63,0.99,0.79,0.79,1.84,2.34,2.82,3.6
萬洲,s1715,-1.13,1.55,2.48,1.22,2.17,1.29,1.45,4.03,5.14,5.41,4.6,4.57,4.99,5.4,4.48,3.17,3.63,4.01,4.69
長興,s1717,7.64,7.73,6.47,7.46,6.82,6.24,5.87,5.74,5.64,5.11,4.06,5.07,4.85,4.27,3.32,3.64,4,3.61,2.77
中纖,s1718,6.72,6.08,6.75,9.57,12.14,13.51,14.16,11.92,12.28,9.96,12.56,9.95,11.85,13.2,16.18,8.13,8.03,8.05,9.36
生達,s1720,10.43,9.17,9.89,11.08,11.98,11.84,13.28,11.64,12.64,12.7,11.63,9.99,11.98,13.78,15.23,7.97,8.24,7.88,10.77
三晃,s1721,7.32,9.36,10.53,4.14,4.66,4.53,5.75,0.48,0.53,1.19,1.91,0.27,1.07,0.85,1.11,0.01,0.63,1.25,4.01
台肥,s1722,5.45,5.64,2.57,13.88,10.84,2.28,1.23,17.52,2.32,1.79,2.94,15.84,19.7,24.91,38.22,18.73,15.46,13.73,11.27
中碳,s1723,18.94,18.58,19.09,21.6,22.89,23.44,24.73,24.58,25.82,25.5,26.39,25.18,25.42,24.53,25.52,23.78,23.54,22.85,23.24
台硝,s1724,9.16,8.74,9.53,12.11,7.11,4.3,2.58,3.03,1,-4.48,2.19,2.53,-7,12.1,15.41,8.46,10.96,10.94,11.82
元禎,s1725,2.44,1.68,0.93,2.22,2.44,1.39,1.47,1.64,1.73,1.02,1.32,1.24,1.23,0.9,0.81,-1.57,0.5,0.08,0.63
永記,s1726,14.13,13.9,13.58,11.64,12.02,11.05,10.38,12.47,12.84,13.36,12.78,12.46,12.64,12.55,15.49,10.73,12.31,13.12,16.32
中華化,s1727,4.28,4.09,3.38,4.47,4.44,4.13,4.09,5.02,4.57,5.14,4.7,5.19,4.97,4.17,4.41,5.07,4.83,5.36,4.97
必翔,s1729,6.16,7.08,6.69,-1.94,0.97,-1.73,0.29,-0.98,1.21,2.41,-2.52,-65.71,-55.66,-66.97,-108.51,-27.74,-20.05,-25.17,-15.42
花仙子,s1730,10.08,9.25,8.32,8.12,7.9,7.05,7.56,7.45,7.02,6.47,6.11,13.06,6.43,5.72,6.46,6.32,5.93,5.38,6.77
美吾華,s1731,5.89,4.05,3.96,5.78,5.52,6.1,8.76,6.53,7.12,5.09,6.2,4.2,3.57,3.02,3.87,2.78,3.2,3.33,4.17
毛寶,s1732,-3.03,-2.5,-0.44,-1.39,-1.06,-1.71,-0.51,-1.77,-0.79,0.51,2.66,-1.56,-1.04,-0.19,0.98,-0.08,-0.74,-1.7,-2.01
五鼎,s1733,9.57,13.34,13.96,14.16,13.62,8.64,7.74,15.04,14.34,14.4,14.68,20.27,23.09,28.31,24.03,25.79,25.7,26.71,27.14
杏輝,s1734,-7.24,-7.57,-8.35,-3.82,-9.91,-8.81,-12.69,3.75,2.88,7.98,7.92,12.6,16.39,19.08,32.28,5.15,6.96,5.28,4.27
日勝化,s1735,2.77,3.06,2.48,3.57,3.27,3.03,2.1,1.26,0.36,-0.18,-0.75,1.21,1.26,1.05,0.02,2.09,2.21,1.04,1.26
喬山,s1736,1.08,-0.17,-1.33,3.32,0.01,-3.18,-1.7,15.94,6.26,6.22,7.75,5.69,0.77,-1.15,2.42,5.6,3.79,1.83,3.14
臺鹽,s1737,13.56,13.6,10.91,9.74,11.26,8.49,7.55,8.26,8.27,8.41,12.21,5.23,4.31,4.44,7.49,3.4,3.21,3.8,3.26
台蠟,s1742,-20.4,-9.62,-10.03,-19.08,-21.37,-21.72,-15.5,-5.29,-5.88,-7.05,-4.48,-1.96,-0.96,-0.75,1.51,1.22,-1.7,-1.31,-3.29
南光,s1752,13.14,14.19,16.08,13.09,13,11.08,10.37,5.27,2.57,-0.87,-1.83,-0.77,-0.52,-1.33,0.76,8.44,10.3,10.4,8.63
中化生,s1762,3.51,3.13,6.57,26.53,30.52,39.58,81.02,1.58,2.18,7.33,4.74,9.29,12.14,15.29,14.01,13.31,15.97,17.16,12.93
勝一,s1773,12.64,12.44,11.44,9.42,9.09,8.73,8.34,7.2,7.12,6.75,7.05,8.06,8.19,8.44,8.74,7.96,7.94,8.12,7.96
展宇,s1776,5.76,6.87,5.96,6.97,6.65,5.76,4.14,4.28,4.59,3.41,,4.65,,3.11,,6.77,,4.18,
生泰,s1777,20.63,22.93,23.11,22.86,22.74,18.92,23.21,21,19.18,17.16,18.66,15.44,15.12,16.89,20.63,10.55,11.4,11.64,15.51
合世,s1781,-12.96,-19.87,-34.14,-9.06,-5.91,-10.39,-9.42,-8.53,-8.35,-12.09,-4.51,2.03,3.05,8.2,13.95,6.04,3.74,0.17,-14.59
和康生,s1783,-6.77,-9.99,-17.64,-24.08,-17.54,-21.98,-23.08,-7.75,-0.3,0.47,4.04,1.11,0.45,0.13,-3.92,1.25,,5.27,
訊聯,s1784,-1.29,-1.69,1.28,2.02,3.76,4.85,4.51,4.32,7.85,10.51,15.78,1.27,3.69,3.25,11.88,5.8,7.28,4.5,12
光洋科,s1785,-1.58,-1.95,-9.11,-1.72,-1.75,-1.07,-1.46,0.02,0.94,0.88,0.42,0.2,1.18,1.06,1.54,1.19,1.35,1.46,1.65
科妍,s1786,-30.58,0.14,-1.15,20.71,21.78,15.66,22.83,-13.99,0.27,2.06,2.95,20.12,23.13,17.03,16.35,31.11,27.54,19.91,18
福盈科,s1787,7.36,8.08,7.98,8.45,8.28,7.13,6.16,8.84,8.33,8.65,7.67,7.18,7.01,7.38,5.88,3.76,4.17,4.7,1.33
杏昌,s1788,6.77,6.4,7.43,7.86,8.04,8.45,9.84,8.01,7.98,7.63,7.29,8.34,8.47,8.22,10.46,7.95,6.29,6.63,8.23
神隆,s1789,16.9,17,16.83,16.05,15.03,12.61,11.52,11.81,14.76,15.94,15.07,25.03,26.8,29.96,29.53,25.6,23.62,22.46,25.46
美時,s1795,2.83,4.8,6.35,2.92,2.98,3.95,-1.63,-23.56,-17.43,-17.23,-33.21,-4.54,-4.32,7.71,18.45,-38.4,-31.64,-55.29,-35.16
易威,s1799,-73.21,-102.53,-173.59,-32.32,-26.48,-25.06,-31.29,-45.61,-112.99,-158.88,-234.88,-165.17,-72.29,-85.12,-107.21,-120.13,-135.5,-139.37,-86.33
台玻,s1802,-4.69,-5.6,-4.56,-12.66,-12.42,-11.28,-14.92,-0.78,-2.87,-10.12,-15.87,-2.71,-8.93,-11.67,-13.54,-6.49,-6.95,-7.4,-5.41
寶徠,s1805,-472.24,-568.83,"-1,228.63",95.37,-73.6,-66,-75.51,0.87,2.98,5.37,7.14,8.39,-25.14,-22.78,-43.72,4.79,5.22,4.19,6.03
冠軍,s1806,-0.2,0.86,-11.29,-1.2,-1.06,-3.63,-7.8,-7.19,-6.75,1.59,-6.77,3.89,4.35,1.94,-7.62,-4.18,-3.82,-5.33,-15.02
潤隆,s1808,19.76,21.39,-108.17,18.38,17.98,9.96,16.82,14.54,10.44,4.11,4.71,6.75,-4.22,-3.97,12.87,32.47,34,36.8,36.57
中釉,s1809,4.43,5.58,4.38,1.59,2.22,1.74,2.34,4.88,5.24,4.64,1.6,4.4,4.4,2.26,-3.54,3.36,4.42,3.66,1.47
和成,s1810,6.88,-0.89,-3.04,2.05,2.46,2.19,0.95,3.13,4.06,5.51,0.76,2.93,2.37,1.07,1.45,0.62,1.29,-0.3,-0.61
寶利徠,s1813,19.99,23.91,19.79,25.19,25.4,18.7,18.86,26.17,22.81,24.23,26.32,22.96,22.01,25.24,26.54,28.59,29.56,28.54,25.92
富喬,s1815,8.03,6.85,8.98,8.75,7.99,6,6.25,1.16,-0.69,-1.77,-3.1,0.7,2.57,4.82,6.04,-3.49,5.57,8,8.84
凱撒衛,s1817,10.35,9.64,9.23,10.49,10.19,8.72,8.67,9.35,9.12,8.12,7.96,9.53,9.1,9.58,9.53,8.36,,5.63,
台紙,s1902,3.81,2.78,4.73,3.17,4.2,3.8,3.07,0.56,1.1,-0.66,-0.99,0.52,0.5,1.58,0.93,-2.85,-3.04,-2.79,-6.05
士紙,s1903,-271.66,-371.23,-339.79,-77.27,-62.97,-75.82,-56.43,-28.69,-16.97,-17.66,-32.82,-8.51,-5.69,-4.84,-8.69,-7.99,-6.51,-7.19,-13.76
正隆,s1904,3.18,2.69,1.19,1.95,2.8,3.59,5.76,0.55,-0.42,-1.61,-4.9,2.55,2.44,3.13,3.48,3.21,3.24,2.8,1.96
華紙,s1905,1.23,1.47,1.51,4.03,4.1,3.43,3.23,0.06,-1.36,-1.5,-0.72,-3.38,-3.28,-2.16,-2.1,-2.16,-4.03,-3.42,-7.31
寶隆,s1906,12.44,28.97,-13.39,27.23,35.78,61.22,-24.7,44.31,64.65,104.76,135,0.86,2.68,8.89,-7.92,-12.9,-16.44,-16.01,-26.51
永豐餘,s1907,0.94,-0.05,-0.11,1.86,2.32,1.33,-0.35,1.42,0.51,-1.18,-2.27,1,0.8,0.53,1.26,2.75,2.83,2.25,1.81
榮成,s1909,4.6,5.74,3.59,3.54,3.83,3.87,2.73,3.19,4.41,3.1,-0.5,3.82,4.04,4.58,4.1,2.29,0.91,-0.24,0.05
中鋼,s2002,6.98,5.16,1.12,2.67,4.17,5.25,5.93,6.6,6.17,5.4,4.62,5.28,5.58,5.91,5.51,1.78,1.44,1.43,-0.34
東和鋼鐵,s2006,6.28,6.79,3.43,4.01,3.85,4.52,4.72,2.93,4.28,4.71,5.11,5.98,5.86,5.64,5.66,4.32,4.33,4.95,4.75
燁興,s2007,-3.31,-2.06,-1.98,-6.62,-7.22,-6.74,-6.2,-8.61,-8.56,-8.83,-12.29,-13.92,-14.09,-13.31,-9.58,-9.72,-7.79,-7.48,-7.95
高興昌,s2008,-12.78,-12.66,-11.9,15.03,-17.02,-12.99,-14.02,-24.76,-29.55,-34.22,-15.54,404.17,591.64,950.33,227.01,-40.14,-28.13,-24.12,-18.85
第一銅,s2009,-7.3,-6.6,-2.14,-10.64,-11.81,-9.14,-12.63,3.28,4.4,6.52,-3.89,0.74,4.37,-2.8,1.98,0.45,0.95,0.05,3.97
春源,s2010,4.24,4.32,3.67,4.17,2.03,2.29,2.45,2.09,2.23,1.99,1.93,2.33,1.96,1.79,2.05,1.61,1.58,1.93,2.59
春雨,s2012,2.93,1.93,0.64,2.57,2.56,1.49,1.52,2.05,1.51,1.13,2.35,2.56,2.05,2.74,2.72,-1.09,0.25,0.81,0.4
中鋼構,s2013,0.55,0.62,0.6,1.11,1.16,1.08,0.76,1.49,1.38,1.33,1.58,2.23,2.17,2.37,2.92,2.95,2.78,2.63,2.83
中鴻,s2014,6.27,4.63,0.04,-3.87,-2.64,-7.26,-18.13,0.58,0.8,0.88,1.56,0.36,-0.59,0.34,3.35,-8.03,-9.36,-4.22,-2.79
豐興,s2015,9.89,9.68,10.37,8.57,7.79,8,6.82,5.53,5.18,5.13,5.09,4.84,4.57,4.59,5.49,4.74,4.84,5.75,3.79
官田鋼,s2017,7.02,6.82,-1.57,-1.46,-0.13,-0.18,-4.16,-0.7,0.1,-1.11,-3.07,-0.31,0.16,-2.19,3.47,-4.64,-3.66,-0.4,-1.87
美亞,s2020,10.44,10.07,8.16,-10.98,-16.59,1.71,1.19,4.7,6.45,6.21,-2.09,3.41,4.21,4.89,6.78,2.03,2.37,2.78,3.85
聚亨,s2022,0.82,1.08,-0.56,-9.22,-7.64,-5.75,-5.19,0.18,0.91,1.28,2.39,-4.21,-0.85,0.81,7.81,-3.94,-3.98,-4.6,-1.24
燁輝,s2023,4.57,5.11,1.85,-3.24,-2.33,-1.21,0.27,1.55,1.29,1.03,0.26,0.66,0.65,1.07,2.28,-2.55,-2.61,-2.21,-2.83
志聯,s2024,5.93,5.12,2.65,2.5,2.74,2.8,3.58,7.7,8.97,9.8,4.72,2.83,3.42,3.29,1.61,-5.23,-4.27,-3.92,-8.41
千興,s2025,1.14,-1.42,-4.06,-13.97,-12.02,-7.38,-5.12,-1.65,0.95,2.11,-3.48,-8.06,-9.51,-10.91,-7.97,-16.23,-16.89,-16.84,-9.87
大成鋼,s2027,0.65,0.56,-0.8,-0.33,-0.33,0.44,0.65,4.19,4.85,3.87,1.83,0.82,0.38,0.31,1.36,1.16,0.92,2.28,3.95
威致,s2028,-1.27,-1.53,-4.56,-21.37,-20.86,-11.18,-9.63,-6.13,-6.34,-6.18,-4.43,-3.4,-4.12,-2.8,-1.91,-0.48,-1.38,-1.34,-0.86
盛餘,s2029,10.06,9.42,7.71,-0.7,-1.95,3.1,3.23,2.61,2.29,2.58,4.23,3.38,3.91,4.76,4.99,0.97,0.85,1.95,1.88
彰源,s2030,1.71,1.18,2.25,-2.45,-0.96,0.25,1.3,2.8,3.07,2.89,1.74,0.29,0.17,0.48,1.08,-2.38,-2,-1.83,-1.82
新光鋼,s2031,13.43,11.96,17.74,-6.34,-1.12,3.94,15.78,2.57,3.19,3.43,2.74,3.86,3.9,4,5.86,-2.78,-0.93,-0.95,6.42
新鋼,s2032,2.55,2.6,1.53,1.12,1.34,2.06,0.87,1.65,2.09,3.61,2.38,1.2,0.94,0.4,2.94,0.25,0.09,0.16,1.52
佳大,s2033,3.18,3.1,3.42,-0.5,-1.77,-1.46,-0.81,-1.98,-2.32,-0.89,-0.61,-2.36,-1.43,-1.32,0.12,3.79,3.51,4.12,6.27
允強,s2034,4.16,4.2,3.65,2.89,3.01,2.27,3.02,3.87,4.21,3.89,4.87,2.74,2.77,3.05,3.6,1.32,1.3,1.09,0.43
唐榮,s2035,4,3.78,-2.81,-6.54,-7.08,-5.26,-5.54,1.79,4,5.25,4.81,-5.13,-6.18,-4.11,-1.71,-2.52,-2.74,-1.49,0.39
海光,s2038,-0.3,0.15,0.21,-2.45,-2.16,-1.5,-3.34,-1.35,-0.45,-0.97,-1.38,-0.51,-1.15,-1.11,0.39,0.58,-0.04,0.25,0.67
上銀,s2049,5.39,5.31,2.39,9.37,11.52,10.33,12.63,15.03,14.04,12.04,16.55,15.37,13.98,11.3,7.43,15.57,17.36,18.28,20.62
川湖,s2059,27.43,27.93,28.08,42.75,43.27,31.39,35.9,42.24,38.16,35.46,46.35,37.03,36.06,38.06,46.97,29.41,28.21,29.2,27.6
風青,s2061,-1.43,-2.62,0.02,-8.53,-9.5,-8.99,-8.95,-2.64,-1.06,0.79,1.6,-2.81,-2.18,-2.07,-1.43,-1.25,-0.65,0.02,0.44
橋椿,s2062,11.58,10.65,13.06,9.2,8.29,7.27,8.09,10.08,8.95,7.04,6.35,15.27,15.47,15.35,15.83,6.1,6.8,6.88,7.69
世鎧,s2063,10.63,10.58,8.75,9.97,9.84,6.16,1.5,10.67,10.23,7.73,9.82,8.05,10.4,12.84,21.24,7.21,7.63,5.62,-0.13
晉椿,s2064,3.73,3.48,-2.09,4.13,5.78,3.89,4.44,6.23,6.22,6.14,8.17,4.8,4.81,5.16,,-3.29,,-3.28,
世德,s2066,15.35,16.53,17.97,19.84,19.17,14.07,14.6,18.39,18.13,18.63,20.18,16.27,15.19,14.87,13.96,10.36,,8.82,
嘉鋼,s2067,-1.36,2.66,-2.75,-10.21,-8.9,-11.08,-7.13,2.91,5.35,6.91,6.89,3.21,3.35,2.62,4.88,3.92,,4.66,
運錩,s2069,3.03,2.31,0.64,0.8,1,1.01,,1.59,,2.51,,0.32,,1.69,,-1.04,,,
南港,s2101,11.76,12.56,7.55,7.46,7.51,6.9,3.2,2.71,3.29,4.89,4.5,3.5,2.86,0.7,-0.6,1.66,3.41,1.59,2.87
泰豐,s2102,0.25,3.82,6.93,7.3,7.48,5.54,4.89,5.55,5.77,6.6,7.73,7.7,8.84,9.01,8.93,4.45,5.01,4.69,3.61
台橡,s2103,5.25,5.86,4.01,2.31,2.7,4.63,3.27,3.9,3.83,3.85,3.42,4.98,5.48,7.22,7.23,7.01,6.85,6.75,9.13
中橡,s2104,8.63,6.73,7.77,4.31,4.3,3.14,3.87,11.48,14.93,3.43,3.58,3.05,3.46,1.99,3.7,6.38,7.62,6.39,7.12
正新,s2105,12.36,13.37,13.78,11,10.79,10.91,11.31,12.49,11.97,11.07,11.7,14.01,13.62,13.66,14.2,12.26,11.11,10.32,10.76
建大,s2106,10.09,9.94,8.88,11.1,11.18,8.89,7.64,11.05,10.63,10.39,10.83,10.38,10.47,10.56,10.64,9.01,7.94,6.95,7.07
厚生,s2107,12.2,9.21,6.88,34.48,35.5,25.55,45.97,58.96,60.93,58.11,41.97,46.76,49.43,50.14,39.97,39.35,38.86,36.4,9.81
南帝,s2108,9.28,11.33,10.3,12.36,12.45,11.72,10.82,3.14,2.29,1.27,1.54,3.81,3.79,5.24,6.31,3.74,3.25,3.51,5.84
華豐,s2109,5.14,4.74,7.61,4.41,4.64,5.08,5.11,13.41,6.45,5.68,6.25,6.46,6.18,5.11,4.01,-1.06,0.54,0.2,1.18
鑫永銓,s2114,20.63,22.61,21.1,22.83,23.05,18.54,18.63,22.99,22.99,23.03,25.25,24.01,23.73,23.75,26.28,20.56,20.23,18.96,17.66
六暉-KY,s2115,11.96,11.7,10.61,9.96,10.1,9.51,8.96,8.75,8.83,8.63,7.54,4.45,4.17,4.92,6.09,4.27,,,
裕隆,s2201,2.52,2.39,2.67,3.2,3.02,3.49,4.16,2.33,3.43,2.73,3.63,2.47,4.14,5.54,6.55,4.39,5.29,5.97,6.05
中華,s2204,9.95,10.31,10.73,9.5,9.98,10.33,9.78,7.85,8.41,8.39,8.86,7.74,7.09,7.12,4.95,5.59,6.48,6.46,4.34
三陽工業,s2206,-0.83,0.61,0.43,9.11,12.76,2.09,0.62,-0.96,-0.9,0.54,-1.91,-1.58,0.33,0.71,0.11,1.25,2.04,2.07,2.51
和泰車,s2207,7.24,7.19,7.42,6.78,7.16,7.09,7.5,6.42,6.76,6.63,6.63,5.89,6.06,5.8,6.07,6.26,6.5,6.56,6.32
台船,s2208,-6.4,0.31,0.9,2.2,1.73,1.81,2.23,1.78,1.31,1.06,0.74,1.77,2.07,2.71,2.93,2.3,2.4,2.28,2.5
大甲,s2221,6.8,5.43,6.51,8.37,6.89,5.73,2.6,4.12,4.31,4.96,2.05,0.8,1.68,3.39,2.38,4.11,5.85,5.11,5.03
裕日車,s2227,12.24,12.61,11.5,12.54,12.28,12.89,11.34,19.66,14.85,13.54,14.62,23.18,22.49,21.18,16.86,16.92,16.34,16.26,10.05
劍麟,s2228,15.35,15.85,16.4,15.72,15.22,13.75,14.93,13.87,13.57,13.43,14.48,11.03,10.94,11.07,10.63,9.41,,8.98,
泰茂,s2230,-0.44,-1.79,1.53,4.59,5.77,2.33,4.55,7.5,3.44,3.98,3.57,3.9,3.28,3.26,5.27,6.17,6.3,5.56,
為升,s2231,31.56,32.35,32.69,39.76,40.62,37.6,39.1,34.59,33.16,31.11,32.2,24.39,23.29,24.59,23.77,18.8,18.43,18.03,15.94
宇隆,s2233,12.92,12.42,11.42,12.67,12.39,11.73,11.11,13.77,14.26,15.82,14.86,15.88,15.45,15.75,15.52,13.58,12.86,13.12,10.99
謚源,s2235,19.26,19.27,19.75,22.68,23.54,21,21.05,18.07,17.09,17,18.95,15.42,15.78,15.29,,9.33,,8.6,
百達-KY,s2236,7.89,9.55,9.33,5.07,4.22,1.67,2.94,7.55,8.15,4.87,7.05,20.16,22.03,,,,,,
英利-KY,s2239,9.66,10.71,10.8,9.03,8.32,8.34,10.12,8.51,,,,,,,,,,,
光寶科,s2301,4.09,3.49,3.33,3.37,3.04,3.08,3.28,2.46,2.46,3.13,2.76,4.17,4.18,4.25,3.83,4.41,4.14,3.89,3.3
麗正,s2302,4.1,6.99,6.95,0.98,0.54,-6.49,-13.72,19.47,-3.29,-8.49,-11.44,4.12,-3.23,0.54,-11.5,-30.88,-12.09,-13.83,-14.83
