company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台通,8011,10.67,-1.27,-21.99,-22.05,-31.66,-40.13,-29.66,17.21,42.69,74.63,113.09,-12.74,-25.46,-22.95,-31.72,-10,0.91,12.9,20.49
矽創,8016,13.69,12.2,9.3,22,22.93,25.62,37.15,19.84,19.51,17.77,8.95,22.39,19.14,20.16,34.37,13.35,10.67,4.52,1.74
尖點,8021,-9.49,-9.2,-9.55,8.27,10.25,12.46,23.39,27.74,24.79,17.69,16.1,7.15,10.93,14.23,11.78,6.09,1.97,-0.52,-8.98
佑華,8024,2.46,1.07,-6.02,-14.3,-11.6,-10.5,-9.43,-1.03,-5.37,-2.89,-5.49,-6.03,-9.28,-11.67,-6.01,-1.95,-4.38,-10.01,-12.62
鈦昇,8027,-7.72,-24.5,-44,-22.63,-16.9,15.19,58.11,51.62,55.15,25.22,,-4.27,,-15,,37.27,,37.41,
光菱,8032,13.71,16.84,16.26,0.03,-5.77,-11.35,-10.72,-11.14,-11.13,-11.51,-11.58,-1.93,2.18,8.76,12.72,-3.27,-7.5,-15.31,-24.13
雷虎,8033,-18.2,-17.75,-9,-23.88,-25.48,-22.95,-24.03,10.01,14.89,15.29,23.62,0.95,-1.8,-4.09,0.05,-7.15,-4.47,1.99,1.01
榮群,8034,-34.4,-40.87,-42.48,-3.86,1.73,-2.74,-2.72,-14.72,-23.61,-13.79,34.34,29.39,22.41,26.58,-1.47,-15.88,-9.26,2.72,11.14
長園科,8038,266.18,270.54,350.44,-24.08,-37.22,-36.46,-31.98,-4.85,-4.26,24.19,-1.24,-23.9,-39.34,-55.91,-58.7,-35.4,,-11.1,
台虹,8039,-0.18,12.74,19.87,1.38,-3.68,-10.61,-13.37,-0.1,3.78,8.78,8.57,29.1,32.37,24.09,33.25,21.09,6.52,12,-14.95
九暘,8040,26.92,26.35,22.2,10.39,4.25,4.93,15.95,4.07,4.71,4,3.35,-6.94,-12.42,-14,-25.92,-43.13,-44.7,-45.99,-45.43
金山電,8042,11.28,12.45,16.53,3.34,-3.67,-6.37,-1.85,3.76,7.13,9.77,6.46,-1.54,-1.34,-5.46,-7.16,-4.74,-7.6,-4.93,-4.4
蜜望實,8043,-6.45,-9.45,-12.92,10.05,16.65,20.95,18.88,1.49,-11.48,-20.44,-25.51,-5.16,5.12,7.31,21.09,-6.77,-16.64,-19.94,-27.78
網家,8044,12.94,14.04,18.38,15.06,15.85,18.23,19.34,21.93,23.12,22.69,22.49,10.88,7.99,6.69,4.8,9.49,10.97,12.34,12.5
南電,8046,-1.42,-4.18,-4.68,-14.48,-14.3,-9.48,2.44,8.09,12.9,21.35,19.9,8.83,5.07,-3.49,-13.08,-23.36,-23.24,-18.51,-12.77
星雲,8047,-8.66,-13.83,-20.65,-2.11,-0.71,-1.45,-4.02,4.12,6.15,12.38,22.69,-2.75,-6.81,-8.21,-14.86,4.68,2.47,4.08,-10.35
德勝,8048,-9.9,3.75,32.38,52.34,62.95,55.09,13.77,38.93,49.84,61.54,75.05,55.46,47.26,36.19,26.57,15.73,9.23,3.31,2.43
晶采,8049,5.13,15.42,13.76,12.56,10.87,-0.05,0.32,-3.24,-5.74,-0.11,9.53,13.31,17.11,18.68,8.89,-12.21,-13.08,-11.54,-0.38
廣積,8050,14.24,10.21,-1.33,13.21,15.93,17.37,39.17,36.8,42.25,48.83,26.62,3.13,-1.57,-11.24,-3.12,9.95,11.6,16.58,6.16
安國,8054,-5.54,-7.65,-14.26,-15.43,-15.03,-12.68,-14.17,-2.41,5.65,9.91,27.58,-0.56,-11.97,-17.63,-27.6,-6.06,-0.07,6.13,17.51
凱碩,8059,-48.93,-61.7,-58.09,-17.4,-10.97,5.48,22.83,58.93,82.14,102.07,82.09,-4.94,-14.45,-15.75,-0.82,16.27,10.34,8.81,-8.43
東捷,8064,31.31,5.3,-5.15,-17.71,-22.27,-21.89,5.89,20.35,28.33,33.64,13.41,61.24,85.33,112.72,160.59,-32.04,-51.29,-62.86,-67.29
來思達,8066,0.21,0.82,15.35,16.23,35.29,36.73,45.75,23.01,5.7,7.32,-0.17,463.24,509.75,495.71,444.69,794.32,77.18,-97.54,-62.79
志旭,8067,-19.66,-15.85,-10.65,-31.87,-32.77,-33.04,-33.53,5.56,10.83,8.71,-3.4,-26.53,-32.3,-34.71,-19.16,-15.66,-9.89,-0.73,-0.88
全達,8068,36.63,14.11,-21.8,-4.98,-7.94,-8.08,10.44,27.93,45.57,55.59,41.73,9.44,0.6,-5.35,-13.93,-22.15,-28.06,-36.06,-36.97
元太,8069,0.23,-1.6,-7.58,-1.42,4.58,-1.27,-8.54,-28.6,-22.93,-24.55,-44.93,-29.21,-18.04,-0.09,40.18,-30.51,-43.06,-51.13,-61.96
長華,8070,-27.97,-26.36,-22.36,-13.14,-10.67,-4.24,6.81,8.48,7.03,5.86,6.87,-1.97,-1.33,0.12,-7.58,2.8,-0.06,-1.75,0.21
能率豐,8071,-3.92,-0.64,-2.72,13.23,11.52,11.8,11.92,11.46,18.51,20.54,41.22,52.61,61.12,52.25,30.74,-32.88,-41.26,-39.04,-25.21
陞泰,8072,-13.47,-18,-23.2,-16.01,-11.88,-8.91,-2.57,-27.33,-31.81,-33.4,-31.52,-19.53,-18.41,-18.7,-20.48,-14.95,-13.5,-12.45,-14.52
鉅橡,8074,5.95,6,8.18,-1.23,-1.27,1.81,5.25,4.5,3.63,4.5,11.88,5.63,3.85,2.89,-4.48,-8.73,-8.12,-11.92,-14.75
伍豐,8076,15.12,22.93,22.51,2.29,2.91,3.53,11.02,3.85,16.41,22.09,23.94,11.48,-1.5,-13.69,-13.13,0.57,5.93,12.2,-6.76
洛碁,8077,248.24,773.94,626.37,615.35,386.73,41.53,31.96,-85.63,-87.6,-84,-78.63,-14.39,-3.53,3.02,13.96,-13.37,-22.37,-24.22,-19.62
奧斯特,8080,50.22,76.47,46.99,-37.23,-36.87,-39.02,-30.66,21.52,33.08,32.62,22.43,-33.09,-33.99,-27.63,-13.38,-8.23,-13,-21.14,-28.84
致新,8081,2.7,-0.59,-4.87,-11.88,-13.05,-11.21,-7.29,1.16,0.63,0.6,5.91,-16.48,-17.63,-16.91,-17.66,-1.96,-3.77,-8.19,-12.51
瑞穎,8083,7.89,5.07,-3.78,-1.01,2.08,6.69,11.63,26.32,28.17,27.32,33.52,11.38,5.84,3.24,-2.98,29.71,39.73,51.59,69.17
巨虹,8084,41.98,54.44,76.64,4.49,-11.98,-22.5,-31.75,-41.83,-37.42,-27.81,-27.84,24.38,35.04,37.75,57.13,2.69,-5.03,-18.37,-26.75
福華,8085,-19.25,-19.25,-25.78,-16.72,-18.08,-17.3,-4.66,-53.14,-53.75,-55.6,-59.06,-6.65,2.61,15.25,1.38,-1.18,-22.64,-26.83,-28.18
宏捷科,8086,-42.59,-27.57,-18.81,65.74,102.62,167.17,278.63,150.39,94.29,32.91,9.34,-33.81,-34.18,-23.04,-13.52,-2.43,-4.3,-15.84,-25.52
華鎂鑫,8087,-12.31,-8.04,-8.42,-3.69,-3.47,-9.63,-13.5,-18.75,-20.53,-18.11,-15.94,-25.25,-23.75,-22.97,-23.5,-8.59,-9.25,-8.98,-0.69
品安,8088,-36.72,-37.92,-35.79,-32.99,-35.29,-35.28,-32,-12.88,-10.55,-17.21,-36.95,20.41,36.43,57.54,61.83,-6.17,-19.54,-27.29,-32.61
翔名,8091,13.05,19.59,39.71,97,68.56,65.38,55.55,4.3,0.88,-2.83,-4.66,-6.91,-11.11,-14.62,-14.19,-0.84,1.32,8.1,3.01
建暐,8092,0.1,8.23,17.65,-5.82,0.88,6.49,33.27,18.33,15.79,12,14.77,-4.23,-4.98,-4.48,-15.81,9.76,0.17,1.29,2.48
保銳,8093,16.51,39.08,7.87,-27.7,-33.51,-52.38,-40.72,0.76,13,40.62,51.44,0.48,-7.65,-17.23,1.88,-15.3,4.29,-15.71,-35.11
