company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
遠東銀,2845,2463883,1645495,862267,3914132,3106794,2049291,1077398,3698080,2971894,1975594,1005804,3061270,2727746,1854580,910377,2563373,2237872,1541445,857367
安泰銀,2849,684991,444235,66024,3295131,2134484,1339139,604335,3201479,2317018,1651833,666405,2641255,1766127,1763302,813041,4076354,2410170,1501115,700505
新產,2850,954608,564891,237127,1255515,1014328,498566,221087,1035767,880951,441610,308416,971678,621771,395220,184568,753256,491840,267874,191755
中再保,2851,626822,308408,75318,765865,548767,493527,312872,870874,706136,466566,224135,732090,679060,214194,153388,679368,579203,426575,407898
第一保,2852,345919,150431,116782,195022,106101,265878,125841,416101,323282,159590,113882,706002,570926,428726,338619,631060,486343,272374,117973
統一證,2855,1051742,313063,192114,962535,668604,951023,558741,1587281,1182361,1080613,464136,1365453,920739,490417,302120,1116860,916439,589162,655586
元富證,2856,819303,507497,66466,1556484,629770,484769,348112,1497524,1022612,920294,322539,840761,558149,371844,320101,800112,692324,415224,398002
三商壽,2867,4139924,2730892,179598,2808206,3927514,2713588,727348,2411672,2182065,824103,-629126,2448612,2285125,1529499,473852,1537918,2264502,663928,79103
華南金,2880,10515067,7690067,3688664,14080661,10590381,7584934,3666274,13131187,9791135,6325130,3017593,10051262,7611083,5194111,2596760,8871048,7406941,5115284,2693894
富邦金,2881,40497648,23892514,8886993,63805832,58346994,42170419,20143033,60477782,53772154,28591794,13794752,38463690,30098326,17898642,10146416,28982799,22807071,10958756,6863610
國泰金,2882,39249470,14243235,8337866,57882371,54884753,41233654,18108672,49631352,44666027,30549286,12326926,38020372,29034526,17241006,7219416,17058037,12967179,5323333,2085621
開發金,2883,4503300,1943281,1155298,8615175,6149045,5156320,2782485,10837331,7995053,4798975,2735244,8448474,6386521,3586808,1461299,5295623,4532881,2472760,1688794
玉山金,2884,10714476,7232972,3715563,12878959,10443629,6699106,3194866,10615132,8477494,5582852,2876519,8416051,6570669,4363450,2268184,7058236,5663164,3871663,2069280
元大金,2885,11120340,6689095,3512176,11997475,11418546,8082762,4233104,16427373,13913686,11829374,3789943,8077321,5821043,3368734,1716103,6516802,4981625,3184911,2561258
兆豐金,2886,17652150,9431773,7646106,29273269,21627869,15453245,8204910,30259644,23822326,16135992,8047442,22494569,18212270,11914238,6187587,21543614,17779618,12725819,6664377
台新金,2887,9782692,6701820,3839090,13226091,11573288,8416273,4523548,9647739,19934064,13611656,7221587,20573623,16902572,11892162,5998213,16765719,14440331,9363970,4699256
新光金,2888,2060606,-694645,-2563227,6838003,4472109,6591892,3597918,7843019,7595853,3317827,1385703,10568064,11356357,7268445,7646383,10362589,10795470,7942970,3206983
國票金,2889,1941971,1312709,708384,1594546,1226877,901442,491682,1808366,1584791,1219760,656178,1406587,863453,525416,316731,1380472,1280068,1017508,471878
永豐金,2890,6989473,4982307,2724369,10856442,9014570,6545008,3630448,13017203,11311052,7214214,2962252,10790868,8333164,5870752,2873171,9543443,7443167,4859859,2704016
中信金,2891,23333739,14306497,6566976,35402042,24949536,17225087,9775513,39443580,37294268,28482164,7797385,21510240,18275950,13303379,6445920,21187820,15525946,10834981,5188333
